Jahr Monat Tag RSK SDK TMK TXK TNK
2020 05 07    0 11.033   9.9 13.3   8.1
2020 05 08    0 10.433  10.7   15   7.9
2020 05 09    0 10.033  12.4 16.3   8.7
2020 05 10  0.8    9.2  13.7 20.9   8.5
2020 05 11    0    4.7   7.6  9.5   6.5
2020 05 12  4.9  8.033   7.2 11.2   4.7
2020 05 13  0.1  6.967     7 10.3   4.5
2020 05 14    0 14.817   8.2 10.1   5.4
2020 05 15  0.1  4.783   8.8 11.5     5
2020 05 16    0  8.567  10.3 13.3   7.9
2020 05 17  0.7  7.917  11.2   15   8.5
2020 05 18  2.9      0  10.9 11.6   9.9
2020 05 19    1  7.517  11.2 14.1   7.5
2020 05 20    0 15.483  10.3 12.8   7.7
2020 05 21    0 13.917  11.8 15.7   7.7
2020 05 22  0.8  8.083  13.1 15.8  11.3
2020 05 23  0.1    1.7  12.4 17.8   9.1
2020 05 24  1.6  4.333  11.5 14.7   8.5
2020 05 25    0   8.05  11.6 14.6   9.3
2020 05 26    0 13.817  10.9 13.2   9.3
2020 05 27    0  9.267    13 17.6   8.4
2020 05 28    0 15.067  12.5 16.2    10
2020 05 29    0 15.617  13.2 16.5   9.8
2020 05 30    0  10.45  13.2 15.3  11.5
2020 05 31    0 15.617  13.6 15.9  11.9
2020 06 01    0  16.05  14.9 18.5  11.7
2020 06 02    0  14.15  15.7   20  12.1
2020 06 03    0 15.917  13.2 15.6  11.3
2020 06 04  6.8     10  14.1 16.4    12
2020 06 05  5.9  8.383    13 15.1   9.6
2020 06 06    0  9.267  11.9 16.8   8.9
2020 06 07    0  6.933  14.4 18.8   8.9
2020 06 08    0 14.433  13.2 16.4   9.4
2020 06 09    0 16.317  14.9 18.6  10.7
2020 06 10    0  4.867  14.2 16.7  12.2
2020 06 11    0  0.033  14.1 15.2  13.2
2020 06 12    0      0  13.8 14.5  13.3
2020 06 13    0  7.183  14.9 16.9  13.6
2020 06 14    0 16.683  15.4 17.6  13.2
2020 06 15    0 15.683    16 19.7  12.8
2020 06 16    0 14.267  18.1 23.2  12.6
2020 06 17    0 15.083  16.3 19.5  14.4
2020 06 18    0  7.367  16.2 18.4  14.2
2020 06 19  0.8  0.033    16 17.8  14.9
2020 06 20  7.7      0  16.1   17  15.6
2020 06 21  0.5      0    16 17.2  15.2
2020 06 22    0  12.95  17.3 19.9  15.1
2020 06 23    0 13.167    17 19.3    15
2020 06 24    0  16.35  17.9 20.7    15
2020 06 25    0  13.75  18.5 21.6  15.9
2020 06 26  0.1 13.583  19.5 21.7  17.7
2020 06 27    0   12.6  19.7 21.7  17.8
2020 06 28   10   6.65  19.6 24.5  16.3
2020 06 29   13  8.533  17.8   22    14
2020 06 30  0.5  3.083  16.2 19.5  14.1
2020 07 01    0  12.85  17.3 20.9    14
2020 07 02    0   10.7  17.4   21    15
2020 07 03    1  5.817  16.5 19.2    15
2020 07 04  4.7  0.033  16.5 18.2  15.1
2020 07 05  0.4  2.783  17.9   21  14.5
2020 07 06  0.4 10.333  15.4 17.8  13.1
2020 07 07  4.5    6.8  14.4   19  10.7
